Customer_ID,Customer_Name,Customer_Email,Province
C0001,Tee Saelim,tee.saelim1@example.com,Bangkok
C0002,Mint Thongdee,mint.thongdee2@example.com,Rayong
C0004,Tee Dechawat,tee.dechawat4@example.com,Bangkok
C0005,Ploy Chaiyo,ploy.chaiyo5@example.com,Bangkok
C0006,Pim Khamdee,pim.khamdee6@example.com,Nakhon Ratchasima
C0007,Jane Saelim,jane.saelim7@example.com,Chiang Mai
C0008,Ice Rattanakul,ice.rattanakul8@example.com,Chiang Mai
C0009,Beam Sukjai,beam.sukjai9@example.com,Bangkok
C0010,Beam Sukjai,beam.sukjai10@example.com,Phuket
C0011,Mint Rattanakul,mint.rattanakul11@example.com,Chanthaburi
C0012,Mint Pattanakul,mint.pattanakul12@example.com,Chiang Mai
C0013,Narin Wongsa,narin.wongsa13@example.com,Khon Kaen
C0014,Beam Thongdee,beam.thongdee14@example.com,Chonburi
C0015,New Pattanakul,new.pattanakul15@example.com,Bangkok
C0016,Korn Lertprasert,korn.lertprasert16@example.com,Khon Kaen
C0017,Mook Rattanakul,mook.rattanakul17@example.com,Khon Kaen
C0018,Nont Chaiyo,nont.chaiyo18@example.com,Phuket
C0019,Korn Dechawat,korn.dechawat19@example.com,Nakhon Ratchasima
C0020,New Chaiyo,new.chaiyo20@example.com,Phuket
C0021,May Boonmee,may.boonmee21@example.com,Nakhon Ratchasima
C0022,Film Kittikul,film.kittikul22@example.com,Nakhon Ratchasima
C0023,Beam Boonmee,beam.boonmee23@example.com,Khon Kaen
C0024,Fah Boonmee,fah.boonmee24@example.com,Bangkok
C0025,Mook Srisawat,mook.srisawat25@example.com,Nakhon Ratchasima
C0026,Mook Wongsa,mook.wongsa26@example.com,Chiang Mai
C0027,Ploy Wongsa,ploy.wongsa27@example.com,Khon Kaen
C0028,Korn Rattanakul,korn.rattanakul28@example.com,Chonburi
C0029,Aom Pattanakul,aom.pattanakul29@example.com,Bangkok
C0030,May Thongdee,may.thongdee30@example.com,Nakhon Ratchasima
C0031,Ploy Rattanakul,ploy.rattanakul31@example.com,Chiang Mai
C0032,Bank Dechawat,bank.dechawat32@example.com,Nakhon Ratchasima
C0033,Pim Srisawat,pim.srisawat33@example.com,Rayong
C0034,Fah Pattanakul,fah.pattanakul34@example.com,Chiang Mai
C0036,Film Maneerat,film.maneerat36@example.com,Chonburi
C0037,Jane Phromla,jane.phromla37@example.com,Chiang Mai
C0038,Boss Kittikul,boss.kittikul38@example.com,Nakhon Ratchasima
C0039,Beam Boonmee,beam.boonmee39@example.com,Rayong
C0040,Pim Srisawat,pim.srisawat40@example.com,Rayong
C0041,Tee Chaiyo,tee.chaiyo41@example.com,Chonburi
C0043,Beam Rattanakul,beam.rattanakul43@example.com,Bangkok
C0044,Gun Phromla,gun.phromla44@example.com,Chonburi
C0045,Boss Khamdee,boss.khamdee45@example.com,Phuket
C0046,Nont Boonmee,nont.boonmee46@example.com,Chiang Mai
C0047,Ploy Saelim,ploy.saelim47@example.com,Khon Kaen
C0048,Boss Dechawat,boss.dechawat48@example.com,Rayong
C0049,Gun Dechawat,gun.dechawat49@example.com,Nakhon Ratchasima
C0052,Gun Dechawat,gun.dechawat52@example.com,Rayong
C0053,Jane Pattanakul,jane.pattanakul53@example.com,Nakhon Ratchasima
C0055,Beam Thongdee,beam.thongdee55@example.com,Chonburi
C0056,Mint Maneerat,mint.maneerat56@example.com,Rayong
C0057,Ploy Thongdee,ploy.thongdee57@example.com,Nakhon Ratchasima
C0058,Anan Wongsa,anan.wongsa58@example.com,Khon Kaen
C0060,Tee Maneerat,tee.maneerat60@example.com,Rayong
C0061,Tee Maneerat,tee.maneerat61@example.com,Chiang Mai
C0062,Beam Rattanakul,beam.rattanakul62@example.com,Bangkok
C0063,Korn Wongsa,korn.wongsa63@example.com,Bangkok
C0064,Ploy Thongdee,ploy.thongdee64@example.com,Phuket
C0065,Pim Srisawat,pim.srisawat65@example.com,Nakhon Ratchasima
C0066,Beam Rattanakul,beam.rattanakul66@example.com,Chonburi
C0067,May Pattanakul,may.pattanakul67@example.com,Chonburi
C0068,Beam Sukjai,beam.sukjai68@example.com,Bangkok
