Transaction_ID,Customer_ID,Customer_Name,Customer_Email,Gender,Province,Order_Date,Load_Timestamp,Product_Category,Quantity,Unit_Price,Discount_Rate,Transaction_Amount,Payment_Method,Order_Status,Is_Promotion
T000127,C0103,Tee Phromla,tee.phromla103@example.com,female,Phuket,2026-06-11,2026-06-11 05:00:00,Sports,3,110.26,0.05,314.24,PP,Cancelled,N
T000169,C0138,Mint Dechawat,mint.dechawat138@example.com,M,Khon Kaen,2026-01-24,2026-01-24 01:00:00,Home,3,138.08,0.05,393.53,PromptPay,Processing,N
T000003,C0071,Aom Sukjai,aom.sukjai71@example.com,m,Chanthaburi,05/29/2026,2026-05-29 05:00:00,Home,4,263.93,0.0,1055.72,COD,Cancelled,N
T000336,C0152,Tee Dechawat,tee.dechawat152@example.com,male,Chanthaburi,02/01/2026,2026-02-01 18:00:00,Food,6,116.53,0.1,629.26,Transfer,Returned,N
T000093,C0090,Mook Sukjai,mook.sukjai90@example.com,M,Chanthaburi,2026-04-18,2026-04-18 13:00:00,Electronics,5,358.35,0.0,1791.75,promptpay,Processing,N
T000440,C0038,Boss Kittikul,boss.kittikul38@example.com,FEMALE,Nakhon Ratchasima,2026-02-23,2026-02-23 05:00:00,Sports,6,142.14,0.0,852.84,CC,Processing,N
T000419,C0147,Film Chaiyo,film.chaiyo147@example.com,m,Chiang Mai,2026-06-01,2026-06-01 10:00:00,Fashion,2,334.89,0.0,669.78,Transfer,Processing,N
T000307,C0018,Nont Chaiyo,nont.chaiyo18@example.com,Male,Phuket,02/06/2026,2026-02-06 13:00:00,Home,4,484.67,0.0,1891.04,Transfer,Completed,N
T000438,C0073,May Lertprasert,may.lertprasert73@example.com,male,Bangkok,2026-02-26,2026-02-26 09:00:00,Sports,6,238.93,0.1,1290.22,bank_transfer,Processing,N
T000544,C0103,Tee Phromla,tee.phromla103@example.com,Female,Phuket,2026-04-25,2026-04-25 03:00:00,Beauty,5,68.77,0.05,326.66,Bank Transfer,Returned,Y
T000141,C0116,Boss Wongsa,boss.wongsa116@example.com,Female,Chonburi,31/02/2026,2026-06-19 06:00:00,Food,4,98.35,0.0,393.4,Credit Card,Cancel,N
T000476,C0081,Film Srisawat,film.srisawat81@example.com,male,Chonburi,03/20/2026,2026-03-20 09:00:00,Food,4,432.12,0.0,1728.48,bank_transfer,Processing,N
T000433,C0007,Jane Saelim,jane.saelim7@example.com,MALE,Chiang Mai,2026-02-11,2026-02-11 17:00:00,Food,6,225.36,0.05,1284.55,promptpay,Processing,Y
T000589,C0029,Aom Pattanakul,aom.pattanakul29@example.com,FEMALE,Bangkok,2026-03-21,2026-03-21 08:00:00,Food,6,131.69,0.05,750.63,COD,Completed,N
T000565,C0086,Korn Dechawat,korn.dechawat86@example.com,F,Nakhon Ratchasima,2026-05-26,2026-05-26 10:00:00,Electronics,5,83.16,0.0,415.8,credit card,Returned,N
T000598,C0060,Tee Maneerat,tee.maneerat60@example.com,Male,Rayong,2026-04-07,2026-04-07 10:00:00,Sports,4,486.91,0.05,1850.26,Credit Card,Completed,N
